Species,Family,CH,LDMC,FS,FP,LS,LDW,SLA,LA,PN,RD,LNC,LCC,LFW
Caltha palustris,Ranunculaceae,315,13.4,2,3,2,237.33,30,7120,2.85,1.45,45.7,434,1771.14
Campanula rotundifolia,Campanulaceae,480,16.9,3,4,2,5.02,46,231,5,0.7,15.2,391,29.71
Gymnadenia conopsea,Orchidaceae,354,13.4,4,2,3,50.27,22,1106,7.46,0.91,26.8,436,375.17
Lysimachia europaea,Primulaceae,90,17.8,4,2,3,9.57,51,488,13.52,1.99,32.8,454,53.76
Maianthemum bifolium,Convallariaceae,82,16.5,3,2,5,37.39,44,1645,8.43,1.11,28,429,226.58
Oxalis acetosella,Oxalidaceae,65,12.4,3,2,4,9.51,74,704,14.7,0.7,31.9,435,76.72
Paris quadrifolia,Trilliaceae,189,14.6,4,3,2,42.41,54,2290,9.96,0.42,34.2,435,290.46
Plantago media,Plantaginaceae,207,17.5,3,5,2,163.04,26,4239,9.47,1.08,18.6,393,931.65
Primula matthioli,Primulaceae,190,15.2,3,3,3,55.55,40,2222,1.93,0.89,29.1,433,365.46
Sedum roseum,Crassulaceae,161,8.4,4,2,3,5.49,35,192,28.91,3.23,41.3,427,65.31
Sedum telephium,Crassulaceae,176,6.7,4,4,4,14.69,49,720,9.48,1.39,29.7,424,219.31
Tanacetum bipinnatum,Compositae,169,16,4,3,5,96.82,22,2130,17.25,2.07,28.1,443,605.11
Betula nana,Betulaceae,384,43.7,3,1,6,15.54,13,202,4.78,2.23,31.1,476,35.56
Bromus inermis,Poaceae,965,32.3,3,3,3,56.21,19,1068,15.97,2.43,26.8,454,174.03
Calamagrostis epigejos,Poaceae,1669,33,4,2,3,92.05,22,2025,14.3,1.87,19.3,426,278.93
Dactylis glomerata,Poaceae,1468,29.6,4,3,4,106.64,22,2346,32,2.1,30.2,441,360.26
Deschampsia cespitosa,Poaceae,1034,37.6,5,3,3,38.16,25,954,6.52,1.13,27.3,435,101.49
Hypericum maculatum,Hypericaceae,414,30.2,5,2,4,15.27,26,397,6.45,1.02,33,465,50.56
Lathyrus pratensis,Fabaceae,692,28.7,4,3,6,11.69,32,374,19.67,2.14,34.8,455,40.72
Ledum decumbens subsp. decumbens,Ericaceae,315,50.5,3,3,3,9.25,4,37,2.61,0.84,15.5,514,18.32
Polygonum aviculare,Polygonaceae,510,25.1,4,4,6,11.85,27,320,6.41,3.06,31.8,411,47.22
Vaccinium myrtillus,Ericaceae,254,30.2,3,1,6,7.39,31,229,6.09,1.18,32.9,484,24.46
Vaccinium uliginosum,Ericaceae,128,37.6,3,3,6,7.12,17,121,6.43,1.27,25,487,18.93
Vicia cracca,Fabaceae,679,29.3,3,3,6,58.78,23,1352,20.8,1.89,34.9,449,200.62
Vicia sepium,Fabaceae,527,24.2,3,3,6,59.97,33,1979,28.51,3.42,42.7,436,247.81
Achillea millefolium,Compositae,404,20.6,5,4,4,72.20,25,1805,13,1.6,27,459,350.49
Aconitum septentrionale,Ranunculaceae,841,12.9,4,3,5,1161.89,38,44152,21.39,2.51,42.1,420,9006.94
Alchemilla murbeckiana,Rosaceae,222,19.9,4,4,3,177.62,34,6039,6.71,1.86,34.4,440,892.55
Angelica sylvestris,Apiaceae,1127,27.5,4,2,3,1732.68,22,38119,7,1.3,26.5,422,6300.66
Antennaria dioica,Compositae,72,20.3,3,3,4,3.39,23,78,6.77,1.66,17.9,403,16.71
Arctium lappa,Compositae,1227,16.1,4,2,3,2363.71,31,73275,17,4.2,23.5,388,14681.43
Arctous alpina,Ericaceae,36,35.8,3,2,5,14.36,14,201,4.35,2,23.4,478,40.10
Artemisia vulgaris,Compositae,733,19,4,4,3,99.59,41,4083,12,1.4,42.9,416,524.13
Capsella bursa-pastoris,Brassicaceae,417,12.2,3,6,1,11.74,46,540,51,2.9,32.8,395,96.22
Comarum palustre,Rosaceae,338,30.3,3,4,6,256.88,24,6165,23.25,3.6,30.5,444,847.77
Crepis sibirica,Compositae,662,14.1,5,2,2,281.72,43,12114,20.9,2.73,37.8,414,1998.02
Dryas octopetala,Rosaceae,57,37,5,1,4,6.80,10,68,6.05,1.19,23.9,484,18.38
Epilobium angustifolium,Onagraceae,941,21.1,5,2,5,82.66,29,2397,5.18,2.06,40.4,451,391.73
Epilobium palustre,Onagraceae,396,21.2,4,4,2,17.68,31,548,16.98,3.07,19.8,429,83.38
Erysimum cheiranthoides,Brassicaceae,559,23.1,3,5,1,26.96,28,755,14,2.7,35.3,405,116.73
Filipendula ulmaria,Rosaceae,934,28.3,4,2,5,456.70,30,13701,11.75,1.44,31.8,439,1613.78
Fragaria vesca,Rosaceae,128,29,4,2,5,68.29,38,2595,10.85,1.5,21.3,433,235.48
Galeopsis speciosa,Lamiaceae,447,23.3,5,2,1,97.17,24,2332,22,3,29.8,429,417.02
Geranium albiflorum,Geraniaceae,321,21.1,4,2,2,137.80,35,4823,10.95,1.93,39.8,443,653.08
Geranium sylvaticum,Geraniaceae,553,20.1,3,2,3,291.77,35,10212,10.08,2.38,33.2,445,1451.60
Geum rivale,Rosaceae,425,24,4,2,3,261.07,27,7049,10.45,1.57,30.3,432,1087.81
Hedysarum hedysaroides subsp. arcticum,Fabaceae,381,19.6,5,1,3,118.55,22,2608,6,3.34,46.3,460,604.82
Lathyrus vernus,Fabaceae,369,20.9,3,1,5,109.41,46,5033,9.54,0.61,38.5,446,523.51
Leucanthemum vulgare,Compositae,559,17.7,5,2,2,33.55,22,738,24,2.2,25,415,189.52
Lysimachia vulgaris,Primulaceae,628,18.3,4,3,5,63.08,37,2334,20.84,1.84,33.9,453,344.71
Matricaria discoidea,Compositae,318,15.1,3,4,1,8.10,39,316,21,3.6,32.3,421,53.66
Melampyrum pratense,Scrophulariaceae,189,22.1,4,4,1,9.93,29,288,17.59,3.07,31.7,451,44.94
Melica nutans,Poaceae,467,30.1,3,3,2,12.39,44,545,0.85,0.74,28,458,41.15
Myosotis arvensis,Boraginaceae,322,13.6,3,3,2,10.45,51,533,17,3.1,24.5,407,76.85
Paeonia anomala,Paeoniaceae,874,16.9,4,2,3,850.71,28,23820,5.06,0.55,24,459,5033.81
